Municipio;ID;Unidad Poblacional;Habitantes
Talayuela;000200;BARQUILLA DE PINARES;278
Talayuela;000300;CENTENILLO (EL);0
Talayuela;000900;SANTA MARÍA DE LAS LOMAS;324
Talayuela;001000;TALAYUELA;6365
Talayuela;001200;PALANCOSO;51
Tejeda de Tiétar;000100;TEJEDA DE TIÉTAR;568
Tejeda de Tiétar;000200;VALDEÍÑIGOS;220
Toril;000100;HERGUIJUELA (LA);41
Toril;000200;MAULIQUE;22
Toril;000300;MIRABEL (TORIL);13
Toril;000400;SALTO DE TORREJÓN;0
Toril;000500;TORIL;72
Tornavacas;000100;TORNAVACAS;1132
Torno (El);000100;TORNO (EL);860
Torrecilla de los Ángeles;000100;TORRECILLA DE LOS ÁNGELES;624
Torrecillas de la Tiesa;000100;TORRECILLAS DE LA TIESA;1067
Torre de Don Miguel;000100;TORRE DE DON MIGUEL;484
Torre de Santa María;000100;TORRE DE SANTA MARÍA;534
Torrejoncillo;000100;TORREJONCILLO;2596
Torrejoncillo;000200;VALDENCÍN;339
Torrejón el Rubio;000100;TORREJÓN EL RUBIO;565
Torremenga;000100;TORREMENGA;599
Torremocha;000100;TORREMOCHA;798
Torreorgaz;000100;TORREORGAZ;1676
Torrequemada;000100;TORREQUEMADA;565
Trujillo;000100;BELÉN;262
Trujillo;000200;HUERTAS DE LA MAGDALENA;87
Trujillo;000300;PAGO DE SAN CLEMENTE;54
Trujillo;000400;TRUJILLO;8609
Valdastillas;000100;VALDASTILLAS;321
Valdecañas de Tajo;000100;VALDECAÑAS DE TAJO;95
Valdecañas de Tajo;000200;VALDEMORENO;15
Valdefuentes;000100;VALDEFUENTES;1174
Valdehúncar;000100;VALDEHÚNCAR;175
Valdelacasa de Tajo;000100;VALDELACASA DE TAJO;348
El Cerro;000200;VALDELAMATANZA;158
Valdemorales;000100;VALDEMORALES;200
Valdeobispo;000100;VALDEOBISPO;656
Valencia de Alcántara;000100;ALCORNEO;36
Valencia de Alcántara;000200;ACEÑA DE LA BORREGA (LA);125
Valencia de Alcántara;000300;CASIÑAS (LAS);136
Valencia de Alcántara;000400;ESTACIÓN FERROCARRIL;67
Valencia de Alcántara;000500;FONTAÑERA (LA);98
Valencia de Alcántara;000600;HUERTAS DE CANSA (LAS);173
Valencia de Alcántara;000700;JOLA;24
Valencia de Alcántara;000800;LANCHUELAS (LAS);91
Valencia de Alcántara;000900;PINO (EL);87
Valencia de Alcántara;001000;SAN PEDRO DE LOS MAJARRETES;55
Valencia de Alcántara;001100;VALENCIA DE ALCÁNTARA;4505
Valverde de la Vera;000100;VALVERDE DE LA VERA;483
Valverde del Fresno;000100;VALVERDE DEL FRESNO;2309
Viandar de la Vera;000100;VIANDAR DE LA VERA;225
Villa del Campo;000100;VILLA DEL CAMPO;487
Villa del Rey;000100;VILLA DEL REY;128
Villamesías;000100;VILLAMESÍAS;261
Villamiel;000100;TREVEJO;9
Villamiel;000200;VILLAMIEL;398
Villanueva de la Sierra;000100;VILLANUEVA DE LA SIERRA;456
Villanueva de la Vera;000100;VILLANUEVA DE LA VERA;2021
Villar del Pedroso;000100;NAVATRASIERRA;171
Villar del Pedroso;000200;VILLAR DEL PEDROSO;428
Villar de Plasencia;000100;VILLAR DE PLASENCIA;235
Villasbuenas de Gata;000100;VILLASBUENAS DE GATA;354
Zarza de Granadilla;000100;ZARZA DE GRANADILLA;1805
Zarza de Granadilla;000200;GRANADILLA;0
Zarza de Montánchez;000100;ZARZA DE MONTÁNCHEZ;571
Zarza la Mayor;000100;ZARZA LA MAYOR;1228
Zorita;000100;ZORITA;1367
Rosalejo;000100;ROSALEJO;1397
Vegaviana;000100;VEGAVIANA;864
Alagón del Río;000100;ALAGÓN DEL RÍO;866
Alagón del Río;000200;RINCÓN (EL);66
Tiétar;000100;TIÉTAR;902
Pueblonuevo de Miramontes;000100;PUEBLONUEVO DE MIRAMONTES;791
